clonesize,honeybee,bumbles,andrena,osmia,MaxOfUpperTRange,MinOfUpperTRange,AverageOfUpperTRange,MaxOfLowerTRange,MinOfLowerTRange,AverageOfLowerTRange,RainingDays,AverageRainingDays,fruitset,fruitmass,seeds
12.5,0.25,0.25,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.58704878,0.488176027,40.65549833
25,0.5,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.564794821,0.433081146,36.83085922
12.5,0.25,0.25,0.25,0.38,94.6,57.2,79,68.2,33,55.9,16,0.26,0.504853246,0.454917386,36.3863589
12.5,0.25,0.25,0.63,0.5,94.6,57.2,79,68.2,33,55.9,16,0.26,0.592156153,0.48648622,40.39944387
25,0.5,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.467905283,0.435272361,36.83081961
25,0.5,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.477641079,0.43910209,34.86353984
12.5,0.25,0.25,0.5,0.5,86,52,71.9,62,30,50.8,16,0.26,0.642881721,0.529619103,45.47838117
12.5,0.25,0.25,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.565085745,0.466360196,39.33777176
12.5,0.25,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.559798321,0.471665153,39.33656687
12.5,0.25,0.38,0.5,0.75,86,52,71.9,62,30,50.8,24,0.39,0.565324698,0.482227496,39.82088488
25,0.5,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.498058212,0.445071322,36.09379556
12.5,0.25,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.57967664,0.486201582,40.84711944
12.5,0.25,0.25,0.5,0.63,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.621810512,0.511053454,43.3126693
25,0.5,0.38,0.38,0.75,86,52,71.9,62,30,50.8,16,0.26,0.543966758,0.478760617,38.17659701
12.5,0.25,0.25,0.25,0.5,94.6,57.2,79,68.2,33,55.9,16,0.26,0.511413154,0.460126356,37.27729673
25,0.5,0.25,0.63,0.5,94.6,57.2,79,68.2,33,55.9,24,0.39,0.517723246,0.463064582,37.54872857
12.5,0.25,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.474791783,0.435692713,34.6595207
25,0.5,0.38,0.5,0.5,86,52,71.9,62,30,50.8,1,0.1,0.566645314,0.486003684,40.03902035
25,0.5,0.38,0.5,0.63,94.6,57.2,79,68.2,33,55.9,1,0.1,0.573204799,0.472468254,40.64163782
25,0.5,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.44371199,0.436865942,31.85521692
12.5,0.25,0.25,0.5,0.63,86,52,71.9,62,30,50.8,16,0.26,0.611462998,0.504877559,42.40915749
12.5,0.25,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.62809913,0.5145695,43.17615175
12.5,0.25,0.25,0.75,0.75,86,52,71.9,62,30,50.8,1,0.1,0.511830268,0.471828735,40.63849594
12.5,0.25,0.25,0.5,0.63,86,52,71.9,62,30,50.8,1,0.1,0.607679197,0.502740901,42.50248162
25,0.5,0.38,0.5,0.63,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.576561833,0.476588872,39.08127039
12.5,0.25,0.25,0.38,0.75,86,52,71.9,62,30,50.8,1,0.1,0.578889093,0.484307576,41.54582317
12.5,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.482854142,0.445071322,35.82485206
12.5,0.25,0.25,0.75,0.5,86,52,71.9,62,30,50.8,24,0.39,0.583697575,0.488638858,40.65549833
12.5,0.75,0.25,0.25,0.25,94.6,57.2,79,68.2,33,55.9,24,0.39,0.474009658,0.435287772,34.89580066
12.5,0.25,0.38,0.5,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.622419314,0.513585375,43.65957738
25,0.5,0.25,0.75,0.75,86,52,71.9,62,30,50.8,34,0.56,0.376670148,0.396533319,30.21832512
25,0.5,0.25,0.63,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.486313688,0.419851618,34.76957798
12.5,0.25,0.25,0.25,0.63,86,52,71.9,62,30,50.8,24,0.39,0.40294843,0.409438226,31.57755786
37.5,0.75,0.25,0.25,0.25,86,52,71.9,62,30,50.8,34,0.56,0.249334678,0.320727305,23.41277571
12.5,0.25,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.416271363,0.409033913,31.66559817
25,0.5,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.553671368,0.472670389,38.45252155
12.5,0.25,0.25,0.63,0.5,94.6,57.2,79,68.2,33,55.9,24,0.39,0.611725787,0.502740901,42.07457289
12.5,0.25,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.603524723,0.500647106,42.16770498
12.5,0.25,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.566719686,0.463806532,39.36457911
12.5,0.25,0.25,0.75,0.63,86,52,71.9,62,30,50.8,34,0.56,0.607396172,0.500557995,42.50248162
25,0.5,0.25,0.38,0.75,94.6,57.2,79,68.2,33,55.9,24,0.39,0.399362246,0.400247657,30.7671091
12.5,0.25,0.25,0.25,0.63,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.557250655,0.472468254,38.65527495
12.5,0.25,0.25,0.25,0.38,86,52,71.9,62,30,50.8,1,0.1,0.552926828,0.471592749,38.72243878
25,0.5,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.470881648,0.437265704,33.55926075
25,0.5,0.25,0.5,0.5,86,52,71.9,62,30,50.8,16,0.26,0.532728714,0.459464772,36.46620322
25,0.5,0.25,0.75,0.63,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.553032347,0.472979714,39.7419306
25,0.5,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.631790257,0.521136035,44.54582537
25,0.5,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.451291733,0.401091418,33.70643359
12.5,0.25,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.535877448,0.460322355,39.92658691
12.5,0.25,0.25,0.75,0.75,86,52,71.9,62,30,50.8,1,0.1,0.572725923,0.486889324,37.02177209
25,0.5,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.476126065,0.437922725,34.66515546
12.5,0.25,0.25,0.38,0.63,86,52,71.9,62,30,50.8,24,0.39,0.607679197,0.504526655,41.6454264
37.5,0.25,0.25,0.25,0.25,86,52,71.9,62,30,50.8,34,0.56,0.335529768,0.358821427,27.50605382
25,0.5,0.25,0.63,0.5,94.6,57.2,79,68.2,33,55.9,16,0.26,0.527591617,0.460180133,37.96686445
12.5,0.25,0.25,0.63,0.5,94.6,57.2,79,68.2,33,55.9,34,0.56,0.340822336,0.379871916,28.43820263
12.5,0.25,0.25,0.63,0.5,86,52,71.9,62,30,50.8,16,0.26,0.521950271,0.457845739,36.85236256
25,0.5,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.4096968,0.397617195,31.67018669
12.5,0.25,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.48180056,0.419747673,35.62231346
25,0.5,0.25,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.465538066,0.409033913,32.02764698
25,0.5,0.25,0.5,0.63,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.421448998,0.416309732,33.23108465
12.5,0.25,0.25,0.75,0.75,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.57467888,0.482859526,39.33777176
25,0.5,0.38,0.63,0.5,86,52,71.9,62,30,50.8,16,0.26,0.578114733,0.483702858,40.77135864
25,0.5,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.52391434,0.434349356,36.04067528
12.5,0.25,0.25,0.5,0.75,86,52,71.9,62,30,50.8,1,0.1,0.582482579,0.487075422,40.33534199
12.5,0.25,0.25,0.5,0.63,86,52,71.9,62,30,50.8,24,0.39,0.532627825,0.463020067,37.01177209
25,0.5,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.392583006,0.402838656,31.07883034
12.5,0.25,0.25,0.75,0.5,86,52,71.9,62,30,50.8,1,0.1,0.583378727,0.490467439,41.48453443
12.5,0.25,0.25,0.63,0.63,94.6,57.2,79,68.2,33,55.9,24,0.39,0.500207249,0.444658692,34.8499528
12.5,0.25,0.25,0.75,0.75,94.6,57.2,79,68.2,33,55.9,24,0.39,0.521119725,0.453119748,36.88084855
25,0.5,0.25,0.63,0.5,86,52,71.9,62,30,50.8,16,0.26,0.53426267,0.460180133,37.55181473
12.5,0.25,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.468192461,0.41390409,35.29886067
25,0.5,0.25,0.5,0.63,94.6,57.2,79,68.2,33,55.9,24,0.39,0.500207249,0.446518367,35.80706195
25,0.5,0.38,0.38,0.63,86,52,71.9,62,30,50.8,24,0.39,0.489326401,0.435620773,34.94019505
25,0.5,0.38,0.63,0.75,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.58249065,0.486514008,37.96686445
12.5,0.25,0.25,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.487748656,0.423053154,35.84349356
25,0.5,0.25,0.63,0.75,86,52,71.9,62,30,50.8,1,0.1,0.469965751,0.423988312,33.29902167
12.5,0.25,0.25,0.25,0.25,86,52,71.9,62,30,50.8,1,0.1,0.404446048,0.40878935,30.80685608
12.5,0.25,0.25,0.75,0.75,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.547743879,0.476588872,38.6454264
10,0.5,0.38,0.63,0.63,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.538703555,0.473660277,38.69800786
25,0.5,0.38,0.38,0.63,94.6,57.2,79,68.2,33,55.9,34,0.56,0.473458531,0.412450296,34.60429153
12.5,0.25,0.25,0.25,0.63,86,52,71.9,62,30,50.8,24,0.39,0.488308859,0.42018755,34.80480992
12.5,0.25,0.38,0.5,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.584016198,0.493257523,40.86547798
25,0.5,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.421448998,0.413631635,32.02764698
25,0.5,0.38,0.38,0.63,86,52,71.9,62,30,50.8,16,0.26,0.603493403,0.506002075,38.70659201
12.5,0.25,0.25,0.63,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.494584864,0.42403139,35.11807556
12.5,0.25,0.25,0.25,0.63,86,52,71.9,62,30,50.8,34,0.56,0.419015102,0.417947008,32.81579359
25,0.5,0.25,0.63,0.75,86,52,71.9,62,30,50.8,16,0.26,0.553671368,0.470719472,38.82636429
12.5,0.25,0.25,0.25,0.25,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.458246439,0.40338611,31.92881551
12.5,0.25,0.25,0.75,0.5,94.6,57.2,79,68.2,33,55.9,16,0.26,0.49154744,0.446570029,35.93380223
25,0.5,0.25,0.5,0.63,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.498952193,0.445717779,34.78799327
25,0.5,0.25,0.38,0.5,86,52,71.9,62,30,50.8,24,0.39,0.502785174,0.457845739,36.95787336
25,0.5,0.25,0.38,0.5,94.6,57.2,79,68.2,33,55.9,1,0.1,0.559215109,0.477438541,38.70569591
12.5,0.25,0.25,0.75,0.5,86,52,71.9,62,30,50.8,1,0.1,0.596753394,0.494398082,41.82485206
12.5,0.25,0.25,0.63,0.75,86,52,71.9,62,30,50.8,16,0.26,0.583077181,0.481173502,40.17143065
25,0.5,0.38,0.5,0.63,94.6,57.2,79,68.2,33,55.9,24,0.39,0.530291604,0.460627726,37.38218685
25,0.5,0.38,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.462996546,0.404575636,33.23244939
25,0.5,0.38,0.38,0.63,86,52,71.9,62,30,50.8,24,0.39,0.408178454,0.403204844,31.67889844
12.5,0.25,0.25,0.25,0.5,94.6,57.2,79,68.2,33,55.9,24,0.39,0.340822336,0.377011619,28.21340501
12.5,0.25,0.38,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.518556034,0.431072001,36.83085922
25,0.5,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.489823352,0.443754909,35.18597077
25,0.5,0.25,0.5,0.5,94.6,57.2,79,68.2,33,55.9,24,0.39,0.399172418,0.391524096,31.13021301
12.5,0.25,0.25,0.5,0.5,86,52,71.9,62,30,50.8,34,0.56,0.480707687,0.436459223,34.62804711
25,0.5,0.38,0.38,0.63,86,52,71.9,62,30,50.8,34,0.56,0.450102564,0.428771298,33.76469664
25,0.5,0.38,0.38,0.63,86,52,71.9,62,30,50.8,24,0.39,0.525063322,0.461903766,37.7247238
25,0.5,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.520587192,0.436996925,36.95787336
12.5,0.25,0.25,0.75,0.5,86,52,71.9,62,30,50.8,24,0.39,0.550116044,0.471871207,38.0603745
12.5,0.25,0.25,0.63,0.63,86,52,71.9,62,30,50.8,34,0.56,0.498218761,0.442111609,35.92331365
12.5,0.25,0.25,0.38,0.63,86,52,71.9,62,30,50.8,16,0.26,0.611725787,0.513260507,44.47362669
25,0.5,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.542170237,0.463064582,37.25124178
25,0.5,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.535863236,0.446570029,36.88084855
12.5,0.25,0.25,0.38,0.63,86,52,71.9,62,30,50.8,1,0.1,0.557250655,0.477181542,39.85898134
12.5,0.25,0.25,0.25,0.63,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.411591443,0.405558182,31.00460557
12.5,0.25,0.38,0.38,0.63,94.6,57.2,79,68.2,33,55.9,16,0.26,0.622419314,0.513208594,43.65957738
25,0.5,0.25,0.5,0.63,94.6,57.2,79,68.2,33,55.9,34,0.56,0.38895631,0.373856466,29.2486781
25,0.5,0.25,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.466109593,0.412661872,35.61618557
25,0.5,0.25,0.75,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.506987743,0.450498441,36.43078186
12.5,0.25,0.38,0.38,0.63,86,52,71.9,62,30,50.8,16,0.26,0.579981861,0.48518887,40.39944387
12.5,0.25,0.38,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.552129108,0.451546571,38.74276374
25,0.25,0.25,0.25,0.25,86,52,71.9,62,30,50.8,34,0.56,0.442626748,0.425532717,33.3406292
12.5,0.25,0.25,0.38,0.75,86,52,71.9,62,30,50.8,24,0.39,0.397461189,0.399983862,30.39027791
25,0.5,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.481472551,0.410575532,34.66515546
25,0.5,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.491996054,0.424311942,35.62231346
12.5,0.25,0.38,0.38,0.5,86,52,71.9,62,30,50.8,34,0.56,0.522435446,0.45386752,36.94898618
25,0.5,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.452908968,0.438514042,32.29905902
25,0.5,0.38,0.5,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.511750776,0.453217034,37.60776346
25,0.5,0.25,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.421448998,0.389593412,30.73453761
12.5,0.25,0.25,0.38,0.63,86,52,71.9,62,30,50.8,1,0.1,0.585313688,0.497916665,40.17143065
25,0.5,0.25,0.75,0.75,94.6,57.2,79,68.2,33,55.9,34,0.56,0.520180895,0.463806532,36.70659201
12.5,0.25,0.38,0.38,0.5,94.6,57.2,79,68.2,33,55.9,16,0.26,0.594206083,0.490020262,41.52614508
12.5,0.25,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.583378727,0.482118713,40.0282126
12.5,0.25,0.38,0.38,0.75,86,52,71.9,62,30,50.8,34,0.56,0.494906594,0.443519907,35.62231346
12.5,0.25,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.520180895,0.441470296,36.83081961
12.5,0.25,0.25,0.38,0.5,86,52,71.9,62,30,50.8,24,0.39,0.545094508,0.465680233,37.67828481
25,0.5,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.379102775,0.403128905,30.79835142
12.5,0.25,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.581744319,0.48363057,40.54647951
12.5,0.25,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.553729922,0.470373306,37.52274536
25,0.5,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.473142233,0.41985155,33.12546719
25,0.5,0.25,0.5,0.63,86,52,71.9,62,30,50.8,34,0.56,0.595052932,0.497740882,41.19101338
25,0.5,0.38,0.38,0.63,94.6,57.2,79,68.2,33,55.9,1,0.1,0.565239387,0.478162473,39.18675925
25,0.5,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.335529768,0.379871916,28.55641695
12.5,0.25,0.38,0.38,0.75,86,52,71.9,62,30,50.8,34,0.56,0.542170237,0.46389552,38.93452098
25,0.5,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.567958657,0.467219599,39.95364888
25,0.5,0.25,0.75,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.455340281,0.403129918,32.81456057
37.5,0.25,0.25,0.25,0.25,86,52,71.9,62,30,50.8,34,0.56,0.477961423,0.438586418,34.33876109
12.5,0.25,0.25,0.75,0.63,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.574796304,0.487214904,40.81318096
25,0.5,0.38,0.5,0.63,86,52,71.9,62,30,50.8,16,0.26,0.54613583,0.475847288,39.8226933
12.5,0.25,0.25,0.38,0.63,86,52,71.9,62,30,50.8,16,0.26,0.492076861,0.449871489,35.72210168
12.5,0.25,0.25,0.75,0.75,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.527724447,0.463806532,37.90930402
25,0.5,0.25,0.63,0.63,86,52,71.9,62,30,50.8,1,0.1,0.532704207,0.463152392,37.29886067
25,0.5,0.25,0.5,0.5,94.6,57.2,79,68.2,33,55.9,24,0.39,0.403217329,0.42403139,31.27459053
25,0.5,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.41545835,0.392836179,32.70643359
25,0.5,0.25,0.5,0.63,94.6,57.2,79,68.2,33,55.9,24,0.39,0.540978199,0.460322355,36.6742427
25,0.5,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.490965919,0.44252903,35.93380223
12.5,0.25,0.38,0.5,0.5,94.6,57.2,79,68.2,33,55.9,1,0.1,0.502785174,0.45370258,36.68541263
25,0.5,0.38,0.5,0.5,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.40294843,0.409260571,31.86773783
12.5,0.25,0.25,0.38,0.5,86,52,71.9,62,30,50.8,16,0.26,0.608344644,0.501359058,42.07457289
12.5,0.25,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.571708025,0.485989695,39.77772061
25,0.5,0.38,0.38,0.5,86,52,71.9,62,30,50.8,1,0.1,0.527308548,0.463561831,38.20555034
25,0.5,0.25,0.63,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.335529768,0.399935482,27.91944764
25,0.5,0.25,0.5,0.63,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.545094508,0.468493268,38.3054111
12.5,0.25,0.25,0.5,0.5,86,52,71.9,62,30,50.8,16,0.26,0.573428227,0.488568502,40.0282126
12.5,0.25,0.38,0.38,0.75,86,52,71.9,62,30,50.8,1,0.1,0.595065655,0.495898084,39.07185599
12.5,0.25,0.25,0.25,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.585377664,0.488527456,40.56148952
25,0.25,0.25,0.25,0.25,94.6,57.2,79,68.2,33,55.9,34,0.56,0.384633032,0.400102144,30.79835142
12.5,0.25,0.38,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.49368953,0.43226586,37.96686445
25,0.5,0.25,0.63,0.5,94.6,57.2,79,68.2,33,55.9,24,0.39,0.404446048,0.404440298,31.60733169
25,0.5,0.25,0.5,0.63,94.6,57.2,79,68.2,33,55.9,34,0.56,0.38895631,0.399556226,30.057704
12.5,0.25,0.25,0.25,0.75,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.631417034,0.521053692,44.56159301
25,0.5,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.509560238,0.450886886,36.69768447
12.5,0.25,0.25,0.63,0.5,94.6,57.2,79,68.2,33,55.9,24,0.39,0.464260194,0.436345708,34.8744954
25,0.5,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.483671436,0.445474763,35.6972028
25,0.5,0.38,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.481472551,0.411546877,34.83881461
25,0.5,0.38,0.5,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.525947983,0.46389552,37.72398079
25,0.5,0.38,0.63,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.444908279,0.43494618,33.74349354
12.5,0.25,0.38,0.63,0.63,86,52,71.9,62,30,50.8,24,0.39,0.575785764,0.486889324,40.39944387
25,0.5,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.527742687,0.465807165,37.96686445
25,0.5,0.38,0.38,0.5,86,52,71.9,62,30,50.8,34,0.56,0.36099568,0.388632634,27.735098
25,0.5,0.38,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.527399614,0.431201835,36.99403039
25,0.5,0.25,0.75,0.5,86,52,71.9,62,30,50.8,16,0.26,0.542163836,0.471650366,39.78408043
12.5,0.25,0.25,0.25,0.38,86,52,71.9,62,30,50.8,34,0.56,0.350992769,0.388632634,29.63179631
12.5,0.25,0.25,0.38,0.38,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.573428227,0.487119779,39.46947609
12.5,0.25,0.38,0.5,0.5,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.608344644,0.50146507,42.78112742
25,0.5,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.536899811,0.470852882,38.23520379
12.5,0.25,0.25,0.63,0.75,94.6,57.2,79,68.2,33,55.9,16,0.26,0.583378727,0.489992416,40.2744187
25,0.5,0.38,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.478469338,0.412661872,34.98855463
25,0.5,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.574708327,0.471828735,29.80324762
12.5,0.25,0.25,0.38,0.38,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.429580755,0.393418576,31.10253472
12.5,0.25,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.520986614,0.433668483,35.80706195
25,0.5,0.38,0.38,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.548367299,0.472521274,39.33251373
25,0.5,0.38,0.5,0.75,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.53513718,0.469892556,37.96686445
25,0.5,0.25,0.75,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.455340281,0.423988312,31.08154655
12.5,0.25,0.38,0.5,0.75,94.6,57.2,79,68.2,33,55.9,16,0.26,0.583378727,0.490467439,41.93725753
25,0.5,0.25,0.5,0.5,86,52,71.9,62,30,50.8,24,0.39,0.460510431,0.435764199,32.66436708
12.5,0.25,0.25,0.63,0.5,86,52,71.9,62,30,50.8,34,0.56,0.497274998,0.444967734,36.01862394
25,0.5,0.25,0.5,0.63,94.6,57.2,79,68.2,33,55.9,24,0.39,0.458581988,0.424728104,32.88039453
25,0.5,0.38,0.5,0.5,86,52,71.9,62,30,50.8,16,0.26,0.340063353,0.401275192,30.79765098
25,0.5,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.50831235,0.45230956,36.39193423
12.5,0.25,0.25,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.544644313,0.446450716,37.53578671
12.5,0.25,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.586303901,0.490467439,40.92210139
12.5,0.25,0.25,0.5,0.63,86,52,71.9,62,30,50.8,16,0.26,0.488047919,0.445497348,35.48700839
12.5,0.25,0.25,0.63,0.63,86,52,71.9,62,30,50.8,1,0.1,0.611725787,0.506024348,42.68661357
12.5,0.25,0.38,0.38,0.5,86,52,71.9,62,30,50.8,16,0.26,0.62809913,0.513721618,43.2784975
25,0.5,0.25,0.5,0.5,86,52,71.9,62,30,50.8,24,0.39,0.545094508,0.462462315,36.43071573
25,0.5,0.25,0.75,0.5,94.6,57.2,79,68.2,33,55.9,1,0.1,0.52380127,0.463275619,37.20361319
25,0.5,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.440473059,0.401275192,31.67018669
25,0.5,0.25,0.63,0.75,94.6,57.2,79,68.2,33,55.9,34,0.56,0.467569149,0.429452031,33.84707944
12.5,0.25,0.25,0.25,0.5,86,52,71.9,62,30,50.8,24,0.39,0.481204499,0.438612787,34.70788043
25,0.5,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.467905283,0.426679269,33.97877886
12.5,0.25,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.461465413,0.405558182,32.60317761
12.5,0.25,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.55195445,0.471828735,39.98873363
12.5,0.25,0.25,0.75,0.75,86,52,71.9,62,30,50.8,1,0.1,0.564904359,0.474798231,39.95364888
12.5,0.25,0.25,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.548724554,0.418219535,39.7419306
25,0.25,0.25,0.25,0.38,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.320417393,0.367762987,27.735098
12.5,0.25,0.25,0.25,0.5,86,52,71.9,62,30,50.8,24,0.39,0.611462998,0.504532158,42.48753914
25,0.5,0.38,0.5,0.63,86,52,71.9,62,30,50.8,24,0.39,0.53434503,0.472760521,39.82088488
25,0.5,0.38,0.5,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.582322083,0.48335599,39.98873363
25,0.5,0.25,0.63,0.63,86,52,71.9,62,30,50.8,16,0.26,0.481204499,0.445339632,35.6026819
12.5,0.25,0.25,0.25,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.427020997,0.415270878,33.31223192
12.5,0.25,0.25,0.25,0.38,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.384981338,0.373856466,29.08514833
25,0.5,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.514086408,0.453119748,36.7513957
